mname,facet,x,y
imprt_t_jur.fourlagdv.bivariate,reg,imprt,Bivariate
imprt_t_jur.fourlagdv.onelagivs,reg,imprt,Default
officers_pcap.fourlagdv.bivariate,reg,officers,Bivariate
officers_pcap.fourlagdv.onelagivs,reg,officers,Default
imprt_t_jur.5year,reg,imprt,Five-Year
imprt_t_jur.spending,reg,imprt,Spending
imprt_t_jur.re,reg,imprt,Random-Effects
imprt_t_jur.pooled,reg,imprt,Pooled
imprt_t_jur.divtrend,reg,imprt,Division X Year FE
imprt_t_jur.regtrend,reg,imprt,Region X Year FE
imprt_t_jur.urtransform,reg,imprt,Unit Roots
officers_pcap.5year,reg,officers,Five-Year
officers_pcap.spending,reg,officers,Spending
officers_pcap.re,reg,officers,Random-Effects
officers_pcap.pooled,reg,officers,Pooled
officers_pcap.divtrend,reg,officers,Division X Year FE
officers_pcap.regtrend,reg,officers,Region X Year FE
officers_pcap.urtransform,reg,officers,Unit Roots
imprt_t_jur.statetrend.normal.full,dd,imprt,State X Time
imprt_t_jur.controls.normal.full,dd,imprt,Controls
imprt_t_jur.diff.normal.full,dd,imprt,First Differences
imprt_t_jur.divtrend.aggregation.full,dd,imprt,Aggregation
imprt_t_jur.divtrend.bootstrap.full,dd,imprt,Bootstrap
imprt_t_jur.divtrend.normal.full,dd,imprt,Preferred
imprt_t_jur.fes.normal.full,dd,imprt,FEs Only
imprt_t_jur.lags.normal.full,dd,imprt,Lag DV
imprt_t_jur.newds.normal.full,dd,imprt,RD X Districts
imprt_t_jur.regtrend.normal.full,dd,imprt,Region X Year FE
imprt_t_jur.simple.normal.full,dd,imprt,Bivariate
lncorrections_pcap.divtrend.normal.full,dd,imprt,Spending
lnpolicesp_pcap.divtrend.normal.full,dd,officers,Spending
officers_pcap.statetrend.normal.full,dd,officers,State X Time
officers_pcap.controls.normal.full,dd,officers,Controls
officers_pcap.diff.normal.full,dd,officers,First Differences
officers_pcap.divtrend.aggregation.full,dd,officers,Aggregation
officers_pcap.divtrend.bootstrap.full,dd,officers,Bootstrap
officers_pcap.divtrend.normal.full,dd,officers,Preferred
officers_pcap.fes.normal.full,dd,officers,FEs Only
officers_pcap.lags.normal.full,dd,officers,Lag DV
officers_pcap.newds.normal.full,dd,officers,RD X Districts
officers_pcap.regtrend.normal.full,dd,officers,Region X Year FE
officers_pcap.simple.normal.full,dd,officers,Bivariate
welfbenefits.statetrend.normal.full,dd,welfare,State X Time
welfbenefits.controls.normal.full,dd,welfare,Controls
welfbenefits.diff.normal.full,dd,welfare,First Differences
welfbenefits.divtrend.aggregation.full,dd,welfare,Aggregation
welfbenefits.divtrend.bootstrap.full,dd,welfare,Bootstrap
welfbenefits.divtrend.normal.full,dd,welfare,Preferred
welfbenefits.fes.normal.full,dd,welfare,FEs Only
welfbenefits.lags.normal.full,dd,welfare,Lag DV
welfbenefits.newds.normal.full,dd,welfare,RD X Districts
welfbenefits.regtrend.normal.full,dd,welfare,Region X Year FE
welfbenefits.simple.normal.full,dd,welfare,Bivariate
imprt_t_jur.divtrend.normal.jimcrow,dd,imprt,Jim Crow
officers_pcap.divtrend.normal.jimcrow,dd,officers,Jim Crow
welfbenefits.divtrend.normal.jimcrow,dd,welfare,Jim Crow
