"order","year","session","housevote","date","major","class","billtitle","amendtitle","shortname","votedeets","punitive","passed","mandmin"
1,1967,90,"H107","08/08/1967","YES","mainvote","Omnibus Crime Control and Safe Streets Act of 1968",,"Safe Streets 1968",,"YES","YES","NO"
2,1968,90,"H335","06/05/1968","YES","amendvote","Omnibus Crime Control and Safe Streets Act of 1968","Disagree to senate amendment","Amendment to SS 1968",,"NO","NO",
3,1970,91,"H284","06/30/1970","YES","mainvote","Omnibus Crime Control Act of 1970",,"Crime Control 1970",,"YES","YES","YES"
4,1970,91,"H300","07/15/1970","YES","mainvote","D.C. Court Reorganization and Criminal Procedure Act of 1970",,"DC Court 1970",,"YES","YES","NO"
5,1970,91,"H355","09/24/1970","YES","mainvote","Drug Abuse and Prevention and Control Act of 1970",,"Drug Abuse 1970",,"NO","YES","NO"
6,1970,91,"H367","10/06/1970","YES","mainvote","Organized Crime Control Act of 1970",,"Org. Crime 1970",,"YES","YES","YES"
7,1973,93,"H117","06/05/1973","YES","mainvote","Rehabilitation Act of 1973",,"Rehabilitation 1973",,"NO","YES","NO"
8,1974,93,"H793","10/09/1974","YES","mainvote","Juvenile Delinquency Prevention Act of 1974",,"Juvenile 1974",,"NO","YES","NO"
9,1984,98,"H868","09/25/1984","YES","mainvote","Comprehensive Crime Control Act of 1984",,"Comp. Crime 1984",,"YES","YES","YES"
10,1984,98,"H869","09/25/1984","YES","amendvote","Comprehensive Crime Control Act of 1984","As part of omnibus spending bill","Amendment to CC 1984",,"YES","YES",
11,1986,99,"H787","09/11/1986","YES","mainvote","Anti-Drug Abuse Act of 1986",,"Anti-Drug 1986",,"YES","YES","YES"
12,1988,100,"H807","09/22/1988","YES","amendvote","Anti-Drug Abuse Act of 1988",,"Anti-Drug 1988",,"YES","YES","YES"
13,1988,100,"H939","10/21/1988","YES","mainvote","Anti-Drug Abuse Act of 1988","Agree to senate amendment","Amendment to AD 1988",,"YES","YES",
14,1989,101,"H336","11/13/1989","YES","mainvote","Drug-Free Schools and Communities Act of 1989",,"Drug-Free 1989",,"YES","YES","NO"
15,1990,101,"H534","10/27/1990","YES","mainvote","Crime Control Act of 1990",,"Crime Control 1990",,"YES","YES","YES"
16,1994,103,"H144","04/21/1994","YES","mainvote","Violent Crime Control and Law Enforcement Act of 1994",,"Violent Crime 1994",,"YES","YES","YES"
17,1994,103,"H106","04/14/1994","NO","amendvote","Violent Crime Control and Law Enforcement Act of 1994","Watt amendment (A003)","Watt Amendment","Death Penalty","NO","NO",
18,1994,103,"H107","04/14/1994","NO","amendvote","Violent Crime Control and Law Enforcement Act of 1994","Kopetski amendment (A005)","Kopetski Amendment","Death Penalty","NO","NO",
19,1994,103,"H108","04/14/1994","NO","amendvote","Violent Crime Control and Law Enforcement Act of 1994","McCollum amendment (A006)","McCollum Amendment A","Death Penalty","YES","YES",
20,1994,103,"H109","04/14/1994","NO","amendvote","Violent Crime Control and Law Enforcement Act of 1994","Gekas amendment (A007)","Gekas Amendment","Death Penalty","YES","YES",
