facet,y,ydisp,order
dd,Bivariate,Bivariate,1
dd,FEs Only,FEs Only,2
dd,Aggregation,Aggregation,3
dd,Bootstrap,Bootstrap,4
dd,RD X Districts,RD X Districts,5
dd,Division X Time,Division X Time,6
dd,Region X Time,Region X Time,7
dd,First Differences,First Differences,8
dd,Lag DV,Lag DV,9
dd,Spending,Spending,10
reg,Bivariate,Biv.,11
reg,Random-Effects,Random-Effects,12
reg,Pooled,Pooled,13
reg,Division X Time,Div. X Time,14
reg,Region X Time,Reg. X Time,15
reg,Unit Roots,Unit Roots,16
reg,Enns,Enns,17
reg,Five-Year,Five-Year,18
reg,Spending,Spend.,19
