varname,propername,order,type,subvar,class
state_alpha2,State,1,group,0,NA
statename,State Name,2,group,0,NA
region,Census Region,3,group,0,NA
division,Census Division,4,group,0,NA
year,Year,5,group,0,NA
imprt_t_jur,Incarceration Rate,6,dv,1,NA
officers_pcap,Officer Rate,7,dv,1,NA
incrt_t_jur,Imprisonment Rate,8,dv,1,NA
lncorrections_pcap,Corrections Sp. Per Capita,9,dv,1,NA
lnpolicesp_pcap,Police Sp. Per Capita,10,dv,1,NA
beopct_all,Black Political Rep.,11,iv,1,beo
pct_blackpop,Percent Black,12,iv,1,control
violent_crt,Violent Crime Rate,13,iv,1,control
all_allraces_loess,Public Opinion,14,iv,1,control
punitive_allraces_loess,Punitiveness,15,iv,1,NA
mistrust_allraces_loess,Mistrust,16,iv,1,NA
anxiety_allraces_loess,Anxiety,17,iv,1,NA
all_black_loess,Black Public Opinion,18,iv,1,NA
punitive_black_loess,Black Punitiveness,19,iv,1,NA
mistrust_black_loess,Black Mistrust,20,iv,1,NA
anxiety_black_loess,Black Anxiety,21,iv,1,NA
demcontrol.klarner,Democratic Control,18,iv,1,control
txtot_pc,Tax Collections Per Capita,19,iv,1,control
unemprate,Unemployment Rate,20,iv,1,control
lnrealinc_pc,Income Per Capita,21,iv,1,control
growthrate,Growth Rate,22,iv,1,control
gini,Gini Coefficient,23,iv,1,control
